"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
21835,278824710,748953,"Microsoft Corporation, Q2 2015 Earnings Call, Jan 26, 2015",2015-01-26,"Earnings Calls","Microsoft Corporation","Executives","Operator, we have time for one last question P please.",10,"Operator, we have time for one last question P please."
21835,278824710,748953,"Microsoft Corporation, Q2 2015 Earnings Call, Jan 26, 2015",2015-01-26,"Earnings Calls","Microsoft Corporation","Operator","And our last question will come from the line of Ed Maguire with CLSA.",14,"And our last question will come from the line of Ed Maguire with CLSA."
21835,278824710,748953,"Microsoft Corporation, Q2 2015 Earnings Call, Jan 26, 2015",2015-01-26,"Earnings Calls","Microsoft Corporation","Analysts","Over the last several quarters particularly, Satya, you've opened up a direct new products to different platforms, Office and Android and with Minecraft and Skype Scott, you got a number of really multiplatform product and services. Could you quantify so",85,"Over the last several quarters particularly, Satya, you've opened up a direct new products to different platforms, Office and Android and with Minecraft and Skype Scott, you got a number of really multiplatform product and services. Could you quantify so far to what extent you've seen benefit? And is this if this plays into the fee free fee free upgrade for Windows 10, at least for a limited period, how do you expect it to play out benefiting the business case of your product portfolio?"
21835,278824710,748953,"Microsoft Corporation, Q2 2015 Earnings Call, Jan 26, 2015",2015-01-26,"Earnings Calls","Microsoft Corporation","Executives","Yes. So overall, the highest level, our strategy here is to make sure that the Microsoft services, IE cloud services, be at -- A, Office 365, CRM Online our Enterprise Mobility Suite our corporate all the devices out there in the marketplace. So that they",227,"Yes. So overall, the highest level, our strategy here is to make sure that the Microsoft services, IE cloud services, be at -- A, Office 365, CRM Online our Enterprise Mobility Suite our corporate all the devices out there in the marketplace. So that they, we maximize the opportunity we have for each of these subscriptions and capacity-based services. So that sort of the core rationale of why we're doing cross-platform. Now the next question is what's the uniqueness of Windows? And the uniqueness of Windows comes because we don't think of these services and their application endpoints as apps but fundamentally core to the Windows experience. So we so we are building them natively natively into Windows. For example, if you log into Windows, you're logging in that I guess of the count or Azure, really. When you have OneDrive. Outlook is the email client for Windows. So that's how Windows will differentiate, and not to mention our gaming and Xbox Live experiences. So overall, we will build a differentiated Windows because our application experiences for our cloud end points will be native in Windows. And at the same time, we'll make sure that our services are available on all end points driving more usage, more subscription growth. So the best way to measure our progress is Office 365 subscription growth, Azure growth and EMS growth."
21835,278824710,748953,"Microsoft Corporation, Q2 2015 Earnings Call, Jan 26, 2015",2015-01-26,"Earnings Calls","Microsoft Corporation","Executives","Thanks. That wraps up the Q&A portion of today's call. We look forward to seeing all of you coming months at various investor conferences. For those unable to attend in person, these events will generally be webcast, and you can follow our comments at Mic",60,"Thanks. That wraps up the Q&A portion of today's call. We look forward to seeing all of you coming months at various investor conferences. For those unable to attend in person, these events will generally be webcast, and you can follow our comments at Microsoft.com/investor. Please contact us if you need any additional details. Thank you for joining us today."
21835,278824710,748953,"Microsoft Corporation, Q2 2015 Earnings Call, Jan 26, 2015",2015-01-26,"Earnings Calls","Microsoft Corporation","Executives","Thank you.",2,"Thank you."
21835,278824710,748953,"Microsoft Corporation, Q2 2015 Earnings Call, Jan 26, 2015",2015-01-26,"Earnings Calls","Microsoft Corporation","Executives","Thank you.",2,"Thank you."
21835,278824710,748953,"Microsoft Corporation, Q2 2015 Earnings Call, Jan 26, 2015",2015-01-26,"Earnings Calls","Microsoft Corporation","Operator","Thank you. This concludes today's teleconference. You may disconnect your lines at this time, and thank you for your participation.",20,"Thank you. This concludes today's teleconference. You may disconnect your lines at this time, and thank you for your participation."
21835,278824710,748969,"Microsoft Corporation, Q2 2015 Earnings Call, Jan 26, 2015",2015-01-26,"Earnings Calls","Microsoft Corporation","Operator","Welcome to the Second Quarter Fiscal Year 2015 Microsoft Corporation Earnings Conference Call. [Operator Instructions] As a reminder, this conference is being recorded. I would now like to turn the call over to Chris Suh, General Manager of Investor Relat",43,"Welcome to the Second Quarter Fiscal Year 2015 Microsoft Corporation Earnings Conference Call. [Operator Instructions] As a reminder, this conference is being recorded. I would now like to turn the call over to Chris Suh, General Manager of Investor Relations. Chris, please proceed."
21835,278824710,748969,"Microsoft Corporation, Q2 2015 Earnings Call, Jan 26, 2015",2015-01-26,"Earnings Calls","Microsoft Corporation","Executives","Thank you. Good afternoon, and thank you for joining us today. On the call with me today are Satya Nadella, Chief Executive Officer; Amy Hood, Chief Financial Officer; Frank Brod, Chief Accounting Officer; and John Seethoff, Deputy General Counsel.On ou",290,"Thank you. Good afternoon, and thank you for joining us today. On the call with me today are Satya Nadella, Chief Executive Officer; Amy Hood, Chief Financial Officer; Frank Brod, Chief Accounting Officer; and John Seethoff, Deputy General Counsel.
On our website, microsoft.com/investor, we have posted our press release and a slide deck that provide a summary of our results this quarter. Unless otherwise specified, all growth comparisons we make on the call today relate to the corresponding period of last year. Additionally, any mention of operating expense refers to segment operating expenses as defined in the footnotes of our 10-Q and includes research and development, sales and marketing and general and administrative but excludes integration and restructuring charges.
We will post the prepared remarks to our website immediately following the call until the complete transcript is available. Today's call is being webcast live and recorded. If you ask a question, it will be included in our live transmission, in the transcript and in any future use of the recording. You can replay the call and view the transcript on the Microsoft Investor Relations website until January 26, 2016.
During this call, we will be making forward-looking statements, which are predictions, projections or other statements about future events. These statements are based on current expectations and assumptions that are subject to risks and uncertainties. Actual results could materially differ because of factors discussed in today's earnings press release, in the comments made during this conference call and in the Risk Factors section of our Form 10-K, Form 10-Q and other reports and filings with the Securities and Exchange Commission. We do not undertake any duty to update any forward-looking statement.
And with that, I'll turn the call over to Satya."
21835,278824710,748969,"Microsoft Corporation, Q2 2015 Earnings Call, Jan 26, 2015",2015-01-26,"Earnings Calls","Microsoft Corporation","Executives","Thank you, Chris. Good afternoon, everyone. Today, I'll focus my top line thoughts on our progress this quarter and the progress we are making in transforming our business. This quarter, we reached $26.5 billion in revenue, with an operating income of $7.",1527,"Thank you, Chris. Good afternoon, everyone. Today, I'll focus my top line thoughts on our progress this quarter and the progress we are making in transforming our business. This quarter, we reached $26.5 billion in revenue, with an operating income of $7.8 billion. This quarter's results show the product and business transformation underway at Microsoft. We saw success in a number of our strategic areas, including cloud adoption, redefining and revitalizing the Windows ecosystem and improving economics in our hardware portfolio.
We also saw some challenges this quarter. As expected, the onetime benefit of Windows XP end of life PC refresh cycle has now tailed off. Additionally, we ran into unexpected issues in select geographies. Where there are execution issues, we will address them. Where there are macroeconomic challenges, we will weather them. With that in mind, I'll walk you through the quarter.
Let's start with our cloud business, an area where we are extending our leadership position and accelerating our innovation. In commercial cloud, we saw continued customer and revenue growth across a growing footprint of cloud services: Office 365, Azure, Enterprise Mobility Suite and Dynamics CRM Online. In fact, this quarter is the sixth consecutive quarter of triple-digit revenue growth in commercial cloud, and we are now at a run rate of $5.5 billion. Azure services continue to grow in appeal to enterprise IT and developers with rapid improvements across hybrid services, premium cloud storage and virtual machine offerings, enhanced data and data analytics offerings.
Microsoft Enterprise Mobility Suite is one key area of product innovation that I would like to highlight given the growth and the uniqueness of this offering. Microsoft offers a comprehensive solution for all devices that brings together mobile device management, mobile application management, hybrid identity management and data protection into one unified offering through EMS.
Office 365 now includes new application experiences on all phones and tablets for mobile productivity. Further, we have released completely new scenarios. This includes Office Sway for visualizing and sharing ideas, Delve to help search and discover content, Office 365 Groups to make it easier to collaborate, Office 365 Video for secure media streaming for businesses.
Finally, we continue to invest in enterprise value by integrating MDM and Enterprise Mobility Suite into Office 365, new encryption technologies, compliant certification and new e-discovery capabilities in Exchange.
In Dynamics CRM Online, we added 53 markets this quarter, bringing us to 130 markets around the world. We are bringing together CRM with Cortana, Yammer, Power BI and Skype to add unique value to customers.
We're expanding our capabilities in the cloud through 5 new acquisitions. Last week, we announced an agreement to purchase Revolution Analytics, the leading provider of statistical computing and predictive analytics, which will enable our customers to unlock Big Data insights. We bought HockeyApp, a leading mobile app testing and development service to enhance Azure services for mobile developers. Our acquisition of Aorato accelerates our ability to give customers unique security capabilities by tapping into behavioral intelligence around identity and access spanning on-premise and the cloud. We're bringing on new capabilities in machine learning as applied to e-discovery and other enterprise compliance processes with the acquisition of Equivio. And we also welcomed Acompli, a provider of innovative mobile email applications for iOS and Android. The common theme across all these acquisitions is advanced data analytics and machine learning-driven capabilities that improve with more customer adoption and usage of the cloud.
We're also making progress in our consumer cloud services. Office 365 Home and Personal revenue grew nearly 150% year-over-year as we added 2.1 million net new subscribers since last quarter. Bing U.S. search share continues to grow as does Search revenue, with 23% growth this quarter. I will talk about our progress in Xbox LIVE later in my comments.
Now let's turn to Windows. To start, the overall Windows ecosystem is driving more innovation. Over the holiday season and at CES, our partners showcased a diverse lineup of Windows devices, including more premium device choices than ever. Last spring, we made a strategic decision to introduce new Windows pricing programs to drive unit growth in opening price point PCs as well as tablets. And this quarter, we saw year-over-year growth. Also, businesses continue to value Windows. We are seeing healthy demand for Windows Pro even though we faced challenging prior year comparables in Q2 as well as in the second half of the year, following the Windows XP end of support related PC refresh.
Now let's talk about Windows 10. Last week was an important milestone on our path to release Windows 10 and usher in an era of more personal computing. The heritage of Windows was about enabling one single device, the PC. With Windows 10, we're building a device platform for the mobile-first, cloud-first world. It's a world where the mobility of a person's experience is paramount, requiring a platform that spans devices from small screens to large screens to no screens at all. It's a world where interacting with technology is as natural as interacting with other people. And it's a world that demands trust and security. It is also a world with rich opportunity for developers. And Windows 10 will be the most attractive Windows development platform ever. With our free upgrade offer and with universal application and unified store for developers, we'll have a large unified up-to-date user base to target.
We want people to love Windows and have made this our most collaborative project yet, with more than 2 million insiders giving us feedback every day. I'm very optimistic about Windows 10.
We're making progress with our own devices, both those in the market today and also the ones that we have recently announced.  This quarter, we surpassed the $1 billion revenue mark with Surface for the first time. The value proposition of being the most productive tablet is resonating.
Further, the sales for Lumia phones topped 10 million units, growing 30% year-over-year this quarter, with strength in devices such as Lumia 500 and 600 series, our affordable smartphones. In this segment of the market, the combination of our brand and value stand out, and we plan to continue to build a beachhead here.
We're also creating new device types that open up new markets and opportunities for Microsoft. In October, we launched our first wearable, the Microsoft Band. And just last week, we revealed 2 new hardware with Windows 10, Microsoft Surface Hub and Microsoft HoloLens. Microsoft Surface Hub will revolutionize group collaboration in meetings. HoloLens and Windows holographic computing will make mixed reality applications part of everyday life across work and home.
I want to talk briefly about Xbox. Xbox One console adoption accelerated this holiday and was the top selling console in the U.S., and fans on Xbox LIVE were engaged with the service more than ever before. However, it's our strategies coming together with Windows 10 that give me the greatest optimism. The vibrant social gaming community on Xbox LIVE will span Xbox, Windows PC, tablets and phones. With Windows 10, gamers on a PC, tablet or Xbox console can play together, and games on Xbox One can easily stream to a Windows 10 PC or tablet. It's also getting clear how games people love today will evolve to mind-blowing experiences in the future when designed for mixed reality that Windows 10 and HoloLens create. Just imagine what's possible with Minecraft. Gaming truly is a valuable part of millions of people's lives, and Microsoft will excel and increase our lead.
Before closing, I wanted to share a few thoughts on capital allocation. Over the past several quarters and certainly with last week's Windows 10 announcement, you've seen us unleash new innovation in our cloud services with Windows and our hardware. We did all of this without materially growing our cost base. This required clarity in purpose and value proposition, realignment of talent and disciplined execution. Our increasing innovation and competitiveness in today's growth markets and the creation of new categories is how we will most positively impact the returns for our investors.
Earlier today, we announced our intention to complete the existing $40 billion share repurchase authorization by December 31, 2016. This is another step in our ongoing commitment to increase capital return for our shareholders while investing in the growth of our business. It too shows our optimism for the future growth of Microsoft. As we move forward, we will certainly continue to be thoughtful in our capital return decisions, balanced across dividends and share repurchases.
In closing, I'm encouraged by the progress we are making in our transformation to become the productivity and platform company for the mobile-first, cloud-first world. I'm proud of how our teams are stepping up to both change and execute to make this transformation happen. I'm confident of the decisions and choices we are making to drive our business and products forward to serve our customers and partners in the future.
With that, I'll hand over to Amy to go through the quarter's results in further detail and share our outlook for the next quarter. I look forward to rejoining you after that to answer your questions. Thank you."
21835,278824710,748969,"Microsoft Corporation, Q2 2015 Earnings Call, Jan 26, 2015",2015-01-26,"Earnings Calls","Microsoft Corporation","Executives","Thanks, and good afternoon, everyone. As Satya shared, in Q2, we again made solid progress on our business transformation. We had strong growth in our cloud and subscription businesses. Our annuity renewals were healthy as customers remain committed to ou",2691,"Thanks, and good afternoon, everyone. As Satya shared, in Q2, we again made solid progress on our business transformation. We had strong growth in our cloud and subscription businesses. Our annuity renewals were healthy as customers remain committed to our enterprise portfolio [ph]. And our hardware products performed well during the holiday season. As we expected, our year-over-year growth rates were impacted by the prior year benefits that we realized in our OEM and Office transactional businesses following the Windows XP end of support refresh cycle.
Beyond that, our results in China and Japan fell short of our expectations. In Japan, the PC market lagged due to their macroeconomic environment along with the combined impact of XP end of support and the VAT increase last year. Our Office attach rate to PCs is very high there, so our -- so the weak PC market also impacted Office revenue.
With that said, let me take you through the financial highlights of our second quarter. Revenue was $26.5 billion, up 8%, and would have been 1 point better without the impact of foreign exchange. Gross margin grew slightly this quarter, even when comparing against the year ago that benefited from the XP refresh cycle. Our commitment to ongoing execution improvement and thoughtful portfolio management helped to improve the gross margin percentage in each of our operating segments.
Operating income declined 2%, which included $243 million of integration and restructuring expenses. Excluding that, operating income grew 1%.
Our reported GAAP earnings per share was $0.71, which included a $0.02 negative impact from integration and restructuring expense and a $0.04 income tax charge for an IRS audit adjustment. Foreign exchange had a $0.01 negative impact on EPS.
As we discussed last quarter, FX movement first impact our bookings growth and unearned revenue on our balance sheet. Our contracted but not billed balance was adjusted down to reflect current FX rates. Therefore, our bookings were flat this quarter.
Unearned revenue was up 9% year-over-year to $21.2 billion, but the sequential decline was slightly larger -- slightly higher than we expected due to the larger-than-anticipated impact from FX. Adjusting for that FX impact, our commercial unearned balance was in line with historical trends and our expectation.
From a geographic perspective, relative to our expectations, the U.S. outperformed and Europe was generally in line. As I mentioned earlier, China and Japan were below our expectations.
With that backdrop, I will now move to a detailed discussion of our results. Last year, we ended support for Windows XP. That stimulated a PC refresh cycle, in particular in developed markets and with business customers. During the period from Q2 through the end of our fiscal year, Windows Pro revenue growth was over 10% and meaningfully outpaced business PC growth. As expected, in Q2, PCs have reverted to a more normalized mix between developed and emerging markets and Pro attach to business PCs has returned to the levels we saw prior to FY '14. Also, to drive revenue growth in academic institutions, we lowered the price of Windows Pro for that customer segment. This pricing change, along with the impact of XP, caused Windows revenue growth to be lower than the relatively stable business PC market we have seen since the end of FY '13.
We again grew Windows non-Pro licenses and saw year-over-year growth in activations. This was driven by particularly strong demand for opening price point PCs related to the strategic decisions Satya spoke of earlier. The hardware mix shift to opening price point PCs impacted license mix and therefore, aggregate revenue per license in the quarter. The mix shift was the main driver of our Windows non-Pro revenue decline.
Inventory in the channel is a bit higher than normal, which we expect to work through in Q3.
Office consumer products and services revenue declined 12% and was impacted by the ongoing transition to Office 365 and by the dynamics in Japan, where PC growth was lower than we expected in a geography where the paid attach of Office is high. Adoption of Office 365 Home and Personal remained strong, and we now have over 9.2 million subscribers.
In our computing and gaming segment, we are proud of the continued progress we are making in our Surface portfolio. Strong interest in Surface Pro 3 helped to drive record revenue as well as improved gross margin. Surface Pro 3 volumes are pacing over 3x the rate of what we saw with Surface Pro 2.
In gaming, Xbox One was the console sales leader in the U.S, Xbox LIVE users grew, and those users increased their purchases of third-party publisher content and consumables. Sales of the Xbox platform exclusives, Halo: The Master Chief Collection and Forza Horizon 2 were strong. And in this quarter, we welcomed Minecraft.
We articulated our plan for the phone business back in July and we are executing to plan. With our Lumia portfolio of phones, we are driving volumes in the low price device category. We sold 10.5 million Lumia phones this quarter, an all-time high. We also sold over 39 million non-Lumia phones even while we make changes to the product portfolio and manage this business for profitability. We are looking forward to bringing new products to market that will showcase the features that we presented at our Windows 10 event last week.
Revenue in our Devices and Consumer Other segment grew 30%. As noted earlier, Xbox LIVE transactions and first-party games performed well and contributed to this growth. Additionally, Search revenue growth was strong, with improvements in both rate and volume. Within display, revenue declined on our MSN portal though we saw revenue growth across other Microsoft properties. We are also pleased by our gross margin expansion in this segment.
Transitioning now to our consumer results where revenue grew 5%. Our annuity revenue remained strong, growing double digits, and renewal rates remained high. Customers are continuing to move from transactional purchasing to long-term annuity contracts as they show an increased commitment to our product road map. Our transactional revenue declined over 15%, slightly more than we expected, primarily in Office, and mostly due to our performance in China and Japan, which I detailed earlier. Additionally, FX had a greater negative impact on commercial revenue than we had anticipated.
Our commercial cloud services delivered triple-digit revenue growth for the sixth consecutive quarter. Office 365 continues to be priority for CIOs as both existing and new customers move to the cloud. This transition accelerated, with 45% of our renewal seats in Office moving to the cloud this quarter. We are seeing great growth in revenue from premium Azure services, driven by both the increase in customer base and an expansion in the number of services that those customers deploy. Within Dynamics CRM Online, customer growth accelerated and revenue nearly doubled.
From a product perspective, commercial Office product and services revenue declined 1%, slightly below our expectations. Annuity revenue remained strong, with high renewal rates and continued adoption of Office 365. Within our Office transactional business, year-on-year comparables are difficult given the benefits from last year's XP refresh where customers chose to update their desktop productivity solutions along with their PC.
Additionally, the shift to Office 365 continues to impact transactional revenue. While these dynamics were consistent with our expectations, revenue in China and Japan both fell short given the factors that I noted earlier.
Server products and services revenue grew 9%, again outpacing the broader IT market. Growth in premium mix helped to drive double-digit revenue growth in SQL Server and Systems Center. Windows Server annuity revenue grew double digits again this quarter, but transactional revenue was down, primarily due to a decline in traditional server market. Additionally, we are pleased with the performance in our Dynamics business, which grew revenue 13%, driven by growth in both on premises and cloud offerings.
Operating expense grew 1% to $8.3 billion and was favorable to our expectation. These results are inclusive of investments that we made in our strategic growth areas, a few of which were showcased last week at Windows 10 event. Excluding approximately $750 million from the addition of NDS, operating expense would have declined 8%. Relative to the guidance that we provided for the quarter, roughly half of the favorability resulted from FX changes, with the balance driven by our continued prioritization of spend.
Our integration and restructuring efforts have been focused on optimizing resources across the company, which includes reducing the expense base in our phone business. To date, we have integrated the manufacturing and supply chain teams across Microsoft, while also rationalizing our phone manufacturing capacity. In operating expense, we committed to reducing $1 billion from the phone cost base, which we have done. We continue to look for opportunities to drive further efficiencies.
Our effective tax rate was 25% and higher than expected due to previously mentioned income tax charge for an IRS audit adjustment. Beyond that, the increase was driven by the inclusion of phone results and our changing geographic mix.
Capital expenditures were $1.5 billion, driven primarily by investments to increase our capacity as we expanded existing and added new data centers, as well as made server purchases in support of our fast-growing cloud business.
This quarter, we increased our capital return by 5%, with $4.5 billion returned to shareholders through buybacks and dividends. And as Satya reinforced in his comments, we will continue to take thoughtful steps to increase capital returns to shareholders with a focus on value.
With that overview of the current quarter, let me now turn to our outlook. Our guidance is based on our current view of FX rates. Should the U.S. dollar strengthen beyond those assumptions, as it did this quarter, we would see additional negative impact to earnings, revenue, our balance sheet and our contracted but not billed balance. As a reminder, in our annuity businesses, the FX impact is first reflected in unearned revenue, which is recorded at the rate when the contract is billed. Then, revenue comes on to the P&L at that same rate as it is recognized, generally over the next year. Therefore, in Q3, we will start to recognize a higher percentage of revenue from period with a stronger U.S. dollar than the prior year comparison. In total, we expect that FX will negatively impact revenue growth by approximately 4 points in Q3. The majority of this impact is in our commercial business.
In FY '14, it was our Q2 through Q4 results that most benefited from Windows XP end of support. As such, our growth rates across Windows Pro and transactional Office will be impacted as our business moves back to pre-XP levels.
On a geographic basis, we expect year-on-year revenue declines in China, Russia and Japan. In Japan, Q3 represents an even tougher comparison with the anniversary of the VAT, which again will create different comparables -- difficult comparables in Windows and Office. We currently expect that the geographic dynamics, challenging comparables from XP and FX headwinds will be in place throughout the remainder of our fiscal year.
With that overall background, let me move to our specific Q3 guidance, starting with Devices and Consumer. Our revenue guidance includes approximately 4 points of drag from FX.
In licensing, we expect revenue to be $3.4 billion to $3.6 billion. This range assumes the more challenging comparables I mentioned earlier. The range also includes a reduction in channel inventory for Windows non-Pro opening price point PCs.
Within Consumer Office, we expect to see similar trends to Q2. And within our IP licensing business, we expect lower per unit royalties with the changing mix devices sold by our licensees.
In Computing and Gaming, we expect revenue to be $1.5 billion to $1.7 billion. This range reflects normal seasonality coming out of the holidays for our Xbox and Surface businesses.
In Phone Hardware, we expect revenue to be $1.4 billion to $1.5 billion. This range anticipates accelerating year-over-year growth in Lumia units, driven by our affordable smartphone devices. We also expect both volumes and ASPs of non-Lumia devices to continue to decline in Q3.
With this lower aggregate revenue base, we expect gross margin, which include noncash amortization, to be lower for the next couple of quarters.
In Devices and Consumer Other, we expect revenue to be about $2 billion, reflecting continued progress in key areas like Office 365 Home and Personal, Xbox LIVE and Search.
In our commercial business, we expect our significant momentum in annuity and commercial cloud services to continue. Within our Commercial Licensing segment, we expect revenue to be $9.7 billion to $9.9 billion. In addition to the factors that I discussed which impact our year-over-year comparability, we anticipate a 4-point drag from FX.
In commercial other, we expect revenue to be $2.6 billion to $2.7 billion. Even after considering the impact of FX, growth will remain robust with expected momentum across our commercial cloud portfolio, Office 365, Azure and CRM Online. And in corporate, we don't expect any revenue impact.
As we continue to work towards the launch of Windows 10, we will share additional detailed information regarding any accounting impact from the Windows 10 Free Upgrade Offer and Windows as a Service. I would like to reiterate that our OEM royalty model, which is paid upfront, will remain in place.
We expect COGS to be $7.1 billion to $7.4 billion with variability driven by both hardware segments. We expect third quarter operating expense to be $8.2 billion to $8.4 billion. We are lowering our full year guidance to $33.2 billion to $33.6 billion, which reduces full year growth, including NDS, to 4% to 5%. Our Q3 plans include investments in advertising and customer-facing roles to continue to accelerate our momentum, with commercial products such as SQL and the cloud. These investments are a direct result of reprioritization decisions made during H1.
Over the remainder of the fiscal year, we expect to incur an additional $200 million of restructuring expense. This results in total charges of roughly $1.4 billion, which is lower than our previous guidance. Separately, we still expect integration expense of $100 million per quarter for the remainder of the fiscal year.
As a reminder, other income and expense includes dividend and interest income, offset by interest expense and the net cost of hedging. Given the current FX environment, we expect other income and expense to be negative $100 million in Q3.
We now expect our full year tax rate to be between 22% and 24%. This includes the Q2 income tax charge for an IRS audit adjustment as well as the changing geographic mix of our business.
In Q3, we expect CapEx to sequentially increase in support of our growing cloud business.
Unearned revenue will continue to benefit from customers moving to our subscription services and high contract renewal rates. We expect to see a low single-digit decline in our unearned for Q3, which includes 1-point drag from FX as new billings will reflect the impact of the strengthening U.S. dollar. Our commercial unearned balance will follow recent historical seasonality when adjusted for FX.
In closing, this quarter was another example of the progress that we are making across this company. Our execution continues to improve, and we are making data-driven decisions to inform more investments both shorter term, as you have seen in our marketing and sales adjustments, as well as for the longer term, as we adjust our product portfolio. There are certainly short-term comparability challenges as we anniversary last year's XP refresh cycle and see the impact of a strengthening U.S. dollar. But we are confident in the underlying strength of our business, proud of the significant innovation we are funding within our prioritized offering budget and excited to continue gaining share in key strategic markets.
Before I hand it back over to Chris, I would like to announce that we will be webcasting a briefing for the investor community on April 29 in conjunction with our Build Developer Conference in San Francisco. We'll share more details as we get closer to the date. With that, I'll turn it back over to Chris and we can move to Q&A."
21835,278824710,748969,"Microsoft Corporation, Q2 2015 Earnings Call, Jan 26, 2015",2015-01-26,"Earnings Calls","Microsoft Corporation","Executives","Thanks, Amy. With that, we'll now move to the Q&A. Operator, can you please repeat your instructions?",17,"Thanks, Amy. With that, we'll now move to the Q&A. Operator, can you please repeat your instructions?"
21835,278824710,748969,"Microsoft Corporation, Q2 2015 Earnings Call, Jan 26, 2015",2015-01-26,"Earnings Calls","Microsoft Corporation","Operator","[Operator Instructions]  Our first question comes from the line of Mark Moerdler with Bernstein.",14,"[Operator Instructions]  Our first question comes from the line of Mark Moerdler with Bernstein."
21835,278824710,748969,"Microsoft Corporation, Q2 2015 Earnings Call, Jan 26, 2015",2015-01-26,"Earnings Calls","Microsoft Corporation","Analysts","Amy, can you give us a bit more detail on what's driving the increase in cloud margins within the Commercial Other segment as well as any sense for how accretive the cloud is becoming? And then, I have a follow-up question.",41,"Amy, can you give us a bit more detail on what's driving the increase in cloud margins within the Commercial Other segment as well as any sense for how accretive the cloud is becoming? And then, I have a follow-up question."
21835,278824710,748969,"Microsoft Corporation, Q2 2015 Earnings Call, Jan 26, 2015",2015-01-26,"Earnings Calls","Microsoft Corporation","Executives","Sure. Why don't I talk a little bit about that from a math perspective, and I'll let Satya add from some of our engineering improvements, which I think are important. Mark, as I talked a bit about, we've seen a mix shift as we have moved Office 365 and Az",113,"Sure. Why don't I talk a little bit about that from a math perspective, and I'll let Satya add from some of our engineering improvements, which I think are important. Mark, as I talked a bit about, we've seen a mix shift as we have moved Office 365 and Azure to our premium service and to premium SKUs within our cloud environment. That is one of the drivers that helps improve margin growth. In addition, we've done a lot of hard engineering work, I believe, over the past 6 quarters to be able to take advantage of more utilization and capacity over time. And I'll let Satya maybe add a little bit technically."
21835,278824710,748969,"Microsoft Corporation, Q2 2015 Earnings Call, Jan 26, 2015",2015-01-26,"Earnings Calls","Microsoft Corporation","Executives","Yes, overall, the shift to the higher layer services is the real driver here, which is obviously Office 365 and its various levels is one factor. The other one is what I talked about in the Enterprise Mobility Suite. That's really got fantastic momentum i",126,"Yes, overall, the shift to the higher layer services is the real driver here, which is obviously Office 365 and its various levels is one factor. The other one is what I talked about in the Enterprise Mobility Suite. That's really got fantastic momentum in the marketplace. Because the solution has really come together and is fairly unique, as well as Dynamics CRM. So these have all got different profiles in terms of margin, and they're all now pretty high growth businesses for us. So when you think about our cloud, you got to think about the low-level infrastructure. Even there, we now have premium offerings. And then, we have higher level services. So that aggregate portfolio is what helps us move up the margin curve."
21835,278824710,748969,"Microsoft Corporation, Q2 2015 Earnings Call, Jan 26, 2015",2015-01-26,"Earnings Calls","Microsoft Corporation","Analysts","Excellent, and one quick follow-up. How should we think about monetization, Satya, for the Windows devices sub-9-inch?",17,"Excellent, and one quick follow-up. How should we think about monetization, Satya, for the Windows devices sub-9-inch?"
21835,278824710,748969,"Microsoft Corporation, Q2 2015 Earnings Call, Jan 26, 2015",2015-01-26,"Earnings Calls","Microsoft Corporation","Executives","The -- one of the comments I have made in my remarks was some momentum we are seeing in our consumer cloud services. So for example, the store monetization, Bing monetization, Xbox LIVE monetization, as Xbox LIVE now in fact is going to expand devices, ar",102,"The -- one of the comments I have made in my remarks was some momentum we are seeing in our consumer cloud services. So for example, the store monetization, Bing monetization, Xbox LIVE monetization, as Xbox LIVE now in fact is going to expand devices, are all things that drive monetization for below 9 inches. And so I think of device gross margin in some cases, because we are building devices like the phones, as well as this post-sale monetization using our consumer cloud services as the 2 additional levers that we have in order to be able to monetize Windows devices."
21835,278824710,748969,"Microsoft Corporation, Q2 2015 Earnings Call, Jan 26, 2015",2015-01-26,"Earnings Calls","Microsoft Corporation","Operator","Our next question comes from the line of Brent Thill with UBS.",12,"Our next question comes from the line of Brent Thill with UBS."
21835,278824710,748969,"Microsoft Corporation, Q2 2015 Earnings Call, Jan 26, 2015",2015-01-26,"Earnings Calls","Microsoft Corporation","Analysts","Amy, just on the XP tail off. Are there other commercial products that you're seeing being impacted? I just want to be clear. There were a lot of questions, that is there's some type of halo impact from the XP taking -- and growth down on the other soluti",49,"Amy, just on the XP tail off. Are there other commercial products that you're seeing being impacted? I just want to be clear. There were a lot of questions, that is there's some type of halo impact from the XP taking -- and growth down on the other solutions."
